,index,name,zipcode,lat,long,Geography,Median income (dollars); Estimate; Households
20,312,25 AVENUE STATION, 11214,40.59770366695856,-73.98682900011477,ZCTA5 10012,104561.0
45,322,NEW UTRECHT AV, 11219,40.6262244629222,-73.99685724994862,ZCTA5 10012,104561.0
46,343,AVENUE H, 11230,40.62920837758969,-73.96151793942495,ZCTA5 10012,104561.0
47,308,77 STREET STATION, 11209,40.62974166688692,-74.02550999962659,ZCTA5 10012,104561.0
18,324,AVENUE U, 11223,40.59592482551748,-73.97337641974885,ZCTA5 10012,104561.0
25,54,FAR ROCKAWAY MOTT AVENUE STATION, 11691,40.60399500168753,-73.75540499924732,ZCTA5 10012,104561.0
17,184,BEACH 36 STREET - EDGEMERE STATION, 11691,40.595398001668755,-73.76817499939688,ZCTA5 10012,104561.0
16,344,NECK ROAD STATION Q, 11229,40.59532169111695,-73.95507827493763,ZCTA5 10012,104561.0
48,307,18 AVENUE STATION, 11230,40.62975466638584,-73.97697099965795,ZCTA5 10012,104561.0
50,61,55 STREET STATION, 11219,40.631478760937455,-73.99534882595742,ZCTA5 10012,104561.0
51,132,FLATBUSH AVENUE STATION, 11210,40.63284240700742,-73.94754120734406,ZCTA5 10012,104561.0
52,309,BAY RIDGE AV STATION, 11220,40.63496666682377,-74.02337699950728,ZCTA5 10012,104561.0
53,76,8 AV, 11220,40.63497099964717,-74.01151599772157,ZCTA5 10012,104561.0
24,325,KINGS HWY, 11223,40.603258405128265,-73.97235530852441,ZCTA5 10012,104561.0
44,342,AVENUE J, 11230,40.62502281991517,-73.96069316246925,ZCTA5 10012,104561.0
55,68,DITMAS AV, 11218,40.63611866666291,-73.97817199965161,ZCTA5 10012,104561.0
34,337,AVENUE N, 11230,40.614356711908826,-73.97404850873144,ZCTA5 10012,104561.0
28,321,18 AVENUE STATION, 11214,40.607735731717405,-74.00159259239406,ZCTA5 10012,104561.0
29,98,BROAD CHANNEL STATION, 11693,40.60840218069683,-73.81583268782963,ZCTA5 10012,104561.0
30,329,KINGS HIGHWAY STATION, 11229,40.608638645396006,-73.95760873538083,ZCTA5 10012,104561.0
26,331,KINGS HIGHWAY STATION, 11223,40.604058999804934,-73.98037300229343,ZCTA5 10012,104561.0
